id,source_file,source_url,brand_context,model_context,image_filename,image_local_path,product_name_guess,caption_raw,raw_price_text,price_number,currency,page_order,confidence,review_reason
2T#001,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,sr-gb1.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/sr-gb1.jpg,,,,,,1,low,no_caption_below_image; likely_template_chrome
2T#002,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,CB750-.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/honda cb750/CB750-.jpg,,,,,,2,low,no_caption_below_image; likely_template_chrome
2T#003,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,triumph100.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/Triumph/triumph100.jpg,,,,,,3,low,no_caption_below_image; likely_template_chrome
2T#004,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,Rs125.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/2T/Rs125.jpg,,,,,,4,low,no_caption_below_image
2T#005,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,NSR150sp-1.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/2T/NSR150sp-1.jpg,อุปกรณ์ตกแต่ง 2T ใหม่ๆอยากแนะนำ,อุปกรณ์ตกแต่ง 2T ใหม่ๆอยากแนะนำ,,,,5,medium,caption_without_price_code_or_material; no_price_in_caption
2T#006,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,Handel-nsr-31m-2.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/2T/Handel-nsr-31m-2.jpg,,,,,,6,low,no_caption_below_image
2T#007,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,Handel-nsr-31m-1.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/2T/Handel-nsr-31m-1.jpg,แฮนจับโช๊คอลูมิเนียมแต่งทรง NSR150SP,"แฮนจับโช๊คอลูมิเนียมแต่งทรง NSR150SP ขนาด 31 มม. เอียง 9 องศา งาน Alloy CNC Billet (สีเงิน) คู่ล่ะ 4,200 ฿ (น้ำหนักเบามากเพียง 492 g.ต่อคู่ ของเดิมน้ำหนัก 1367 g.ต่อคู่) (Clip-On Handlebars 31mm. 9 degrees)","4,200 ฿",4200,THB,7,high,
2T#008,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,Handel-nsr-35m-3.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/2T/Handel-nsr-35m-3.jpg,,,,,,8,low,no_caption_below_image
2T#009,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,Handel-nsr-35m-1.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/2T/Handel-nsr-35m-1.jpg,,,,,,9,low,no_caption_below_image
2T#010,2T.html,www.thaigigabike.com/2T.html,Honda,NSR150sp/Dash125 2T,Handel-nsr-35m-2.jpg,HTTrack My Web Sites/Giga-Bike-/www.thaigigabike.com/webgigabike.com/2T/Handel-nsr-35m-2.jpg,,,,,,10,low,no_caption_below_image
